Sample ID,Repo,PR #,PR URL,Disclosure Present,Disclosure Classification,Notes
"apache/airflow#69563","apache/airflow","69563","https://github.com/apache/airflow/pull/69563","Yes","Positive",""
"apache/airflow#67815","apache/airflow","67815","https://github.com/apache/airflow/pull/67815","Yes","Positive",""
"apache/airflow#69583","apache/airflow","69583","https://github.com/apache/airflow/pull/69583","Yes","Positive",""
"apache/airflow#69427","apache/airflow","69427","https://github.com/apache/airflow/pull/69427","No","None",""
"apache/airflow#69580","apache/airflow","69580","https://github.com/apache/airflow/pull/69580","No","None",""
"apache/airflow#69521","apache/airflow","69521","https://github.com/apache/airflow/pull/69521","No","None",""
"apache/airflow#69453","apache/airflow","69453","https://github.com/apache/airflow/pull/69453","Yes","Positive",""
"apache/airflow#69299","apache/airflow","69299","https://github.com/apache/airflow/pull/69299","Yes","Positive",""
"apache/airflow#69548","apache/airflow","69548","https://github.com/apache/airflow/pull/69548","No","None",""
"apache/airflow#68945","apache/airflow","68945","https://github.com/apache/airflow/pull/68945","No","None",""
"apache/airflow#69179","apache/airflow","69179","https://github.com/apache/airflow/pull/69179","No","None",""
"apache/airflow#69092","apache/airflow","69092","https://github.com/apache/airflow/pull/69092","Yes","Positive",""
"apache/airflow#69185","apache/airflow","69185","https://github.com/apache/airflow/pull/69185","Yes","Positive","Did not disclose tool"
"apache/airflow#69499","apache/airflow","69499","https://github.com/apache/airflow/pull/69499","No","None",""
"apache/airflow#69486","apache/airflow","69486","https://github.com/apache/airflow/pull/69486","No","None",""
"apache/airflow#64611","apache/airflow","64611","https://github.com/apache/airflow/pull/64611","No","None",""
"apache/airflow#69475","apache/airflow","69475","https://github.com/apache/airflow/pull/69475","No","None",""
"apache/airflow#69495","apache/airflow","69495","https://github.com/apache/airflow/pull/69495","Yes","Positive",""
"apache/airflow#69444","apache/airflow","69444","https://github.com/apache/airflow/pull/69444","No","None",""
"apache/airflow#69527","apache/airflow","69527","https://github.com/apache/airflow/pull/69527","No","None",""
"apache/airflow#69549","apache/airflow","69549","https://github.com/apache/airflow/pull/69549","Yes","Positive",""
"apache/airflow#69283","apache/airflow","69283","https://github.com/apache/airflow/pull/69283","Yes","Positive",""
"apache/airflow#69159","apache/airflow","69159","https://github.com/apache/airflow/pull/69159","Yes","Positive",""
"apache/airflow#69540","apache/airflow","69540","https://github.com/apache/airflow/pull/69540","Yes","Positive",""
"apache/airflow#68604","apache/airflow","68604","https://github.com/apache/airflow/pull/68604","No","None",""
"apache/airflow#69539","apache/airflow","69539","https://github.com/apache/airflow/pull/69539","Yes","Positive","Yes"
"apache/airflow#69374","apache/airflow","69374","https://github.com/apache/airflow/pull/69374","Yes","Positive",""
"apache/airflow#69454","apache/airflow","69454","https://github.com/apache/airflow/pull/69454","Yes","Positive","Did not provide tool"
"apache/airflow#69365","apache/airflow","69365","https://github.com/apache/airflow/pull/69365","No","None",""
"apache/airflow#69532","apache/airflow","69532","https://github.com/apache/airflow/pull/69532","No","None",""
"apache/airflow#68068","apache/airflow","68068","https://github.com/apache/airflow/pull/68068","Yes","Positive",""
"apache/airflow#69536","apache/airflow","69536","https://github.com/apache/airflow/pull/69536","No","None",""
"apache/airflow#69538","apache/airflow","69538","https://github.com/apache/airflow/pull/69538","Yes","Positive",""
"apache/airflow#66648","apache/airflow","66648","https://github.com/apache/airflow/pull/66648","No","None",""
"apache/airflow#69512","apache/airflow","69512","https://github.com/apache/airflow/pull/69512","No","None",""
"apache/airflow#68355","apache/airflow","68355","https://github.com/apache/airflow/pull/68355","Yes","Positive",""
"apache/airflow#69505","apache/airflow","69505","https://github.com/apache/airflow/pull/69505","No","None",""
"apache/airflow#68902","apache/airflow","68902","https://github.com/apache/airflow/pull/68902","Yes","Positive",""
"apache/airflow#65649","apache/airflow","65649","https://github.com/apache/airflow/pull/65649","Yes","Positive",""
"apache/airflow#68422","apache/airflow","68422","https://github.com/apache/airflow/pull/68422","Yes","Positive",""
"apache/airflow#69503","apache/airflow","69503","https://github.com/apache/airflow/pull/69503","Yes","Positive",""
"apache/airflow#67330","apache/airflow","67330","https://github.com/apache/airflow/pull/67330","No","None",""
"apache/airflow#69456","apache/airflow","69456","https://github.com/apache/airflow/pull/69456","Yes","Positive",""
"apache/airflow#69510","apache/airflow","69510","https://github.com/apache/airflow/pull/69510","No","None",""
"apache/airflow#69312","apache/airflow","69312","https://github.com/apache/airflow/pull/69312","Yes","Positive",""
"apache/airflow#69452","apache/airflow","69452","https://github.com/apache/airflow/pull/69452","Yes","Positive",""
"apache/airflow#69313","apache/airflow","69313","https://github.com/apache/airflow/pull/69313","No","None",""
"apache/airflow#69309","apache/airflow","69309","https://github.com/apache/airflow/pull/69309","Yes","Positive",""
"apache/airflow#69500","apache/airflow","69500","https://github.com/apache/airflow/pull/69500","Yes","Positive",""
"apache/airflow#69434","apache/airflow","69434","https://github.com/apache/airflow/pull/69434","Yes","Positive",""
"cloudnative-pg/cloudnative-pg#11138","cloudnative-pg/cloudnative-pg","11138","https://github.com/cloudnative-pg/cloudnative-pg/pull/11138","No","None",""
"cloudnative-pg/cloudnative-pg#10850","cloudnative-pg/cloudnative-pg","10850","https://github.com/cloudnative-pg/cloudnative-pg/pull/10850","No","None",""
"cloudnative-pg/cloudnative-pg#9827","cloudnative-pg/cloudnative-pg","9827","https://github.com/cloudnative-pg/cloudnative-pg/pull/9827","No","None",""
"cloudnative-pg/cloudnative-pg#11132","cloudnative-pg/cloudnative-pg","11132","https://github.com/cloudnative-pg/cloudnative-pg/pull/11132","Yes","Positive",""
"cloudnative-pg/cloudnative-pg#10738","cloudnative-pg/cloudnative-pg","10738","https://github.com/cloudnative-pg/cloudnative-pg/pull/10738","No","None",""
"cloudnative-pg/cloudnative-pg#11127","cloudnative-pg/cloudnative-pg","11127","https://github.com/cloudnative-pg/cloudnative-pg/pull/11127","No","None",""
"cloudnative-pg/cloudnative-pg#11123","cloudnative-pg/cloudnative-pg","11123","https://github.com/cloudnative-pg/cloudnative-pg/pull/11123","No","None",""
"cloudnative-pg/cloudnative-pg#11087","cloudnative-pg/cloudnative-pg","11087","https://github.com/cloudnative-pg/cloudnative-pg/pull/11087","No","None",""
"cloudnative-pg/cloudnative-pg#11053","cloudnative-pg/cloudnative-pg","11053","https://github.com/cloudnative-pg/cloudnative-pg/pull/11053","No","None",""
"cloudnative-pg/cloudnative-pg#11103","cloudnative-pg/cloudnative-pg","11103","https://github.com/cloudnative-pg/cloudnative-pg/pull/11103","No","None",""
"cloudnative-pg/cloudnative-pg#11091","cloudnative-pg/cloudnative-pg","11091","https://github.com/cloudnative-pg/cloudnative-pg/pull/11091","No","None",""
"cloudnative-pg/cloudnative-pg#8392","cloudnative-pg/cloudnative-pg","8392","https://github.com/cloudnative-pg/cloudnative-pg/pull/8392","No","None",""
"cloudnative-pg/cloudnative-pg#9132","cloudnative-pg/cloudnative-pg","9132","https://github.com/cloudnative-pg/cloudnative-pg/pull/9132","No","None",""
"cloudnative-pg/cloudnative-pg#11099","cloudnative-pg/cloudnative-pg","11099","https://github.com/cloudnative-pg/cloudnative-pg/pull/11099","No","None",""
"cloudnative-pg/cloudnative-pg#11086","cloudnative-pg/cloudnative-pg","11086","https://github.com/cloudnative-pg/cloudnative-pg/pull/11086","No","None",""
"cloudnative-pg/cloudnative-pg#11088","cloudnative-pg/cloudnative-pg","11088","https://github.com/cloudnative-pg/cloudnative-pg/pull/11088","No","None",""
"cloudnative-pg/cloudnative-pg#11083","cloudnative-pg/cloudnative-pg","11083","https://github.com/cloudnative-pg/cloudnative-pg/pull/11083","No","None",""
"cloudnative-pg/cloudnative-pg#11075","cloudnative-pg/cloudnative-pg","11075","https://github.com/cloudnative-pg/cloudnative-pg/pull/11075","No","None",""
"cloudnative-pg/cloudnative-pg#11069","cloudnative-pg/cloudnative-pg","11069","https://github.com/cloudnative-pg/cloudnative-pg/pull/11069","No","None",""
"cloudnative-pg/cloudnative-pg#11059","cloudnative-pg/cloudnative-pg","11059","https://github.com/cloudnative-pg/cloudnative-pg/pull/11059","No","None",""
"cloudnative-pg/cloudnative-pg#11071","cloudnative-pg/cloudnative-pg","11071","https://github.com/cloudnative-pg/cloudnative-pg/pull/11071","No","None",""
"cloudnative-pg/cloudnative-pg#11056","cloudnative-pg/cloudnative-pg","11056","https://github.com/cloudnative-pg/cloudnative-pg/pull/11056","No","None",""
"cloudnative-pg/cloudnative-pg#11054","cloudnative-pg/cloudnative-pg","11054","https://github.com/cloudnative-pg/cloudnative-pg/pull/11054","No","None",""
"cloudnative-pg/cloudnative-pg#11064","cloudnative-pg/cloudnative-pg","11064","https://github.com/cloudnative-pg/cloudnative-pg/pull/11064","No","None",""
"cloudnative-pg/cloudnative-pg#10970","cloudnative-pg/cloudnative-pg","10970","https://github.com/cloudnative-pg/cloudnative-pg/pull/10970","No","None",""
"cloudnative-pg/cloudnative-pg#11032","cloudnative-pg/cloudnative-pg","11032","https://github.com/cloudnative-pg/cloudnative-pg/pull/11032","No","None",""
"cloudnative-pg/cloudnative-pg#11039","cloudnative-pg/cloudnative-pg","11039","https://github.com/cloudnative-pg/cloudnative-pg/pull/11039","No","None",""
"cloudnative-pg/cloudnative-pg#11055","cloudnative-pg/cloudnative-pg","11055","https://github.com/cloudnative-pg/cloudnative-pg/pull/11055","No","None",""
"cloudnative-pg/cloudnative-pg#11045","cloudnative-pg/cloudnative-pg","11045","https://github.com/cloudnative-pg/cloudnative-pg/pull/11045","No","None",""
"cloudnative-pg/cloudnative-pg#11051","cloudnative-pg/cloudnative-pg","11051","https://github.com/cloudnative-pg/cloudnative-pg/pull/11051","No","None",""
"cloudnative-pg/cloudnative-pg#11035","cloudnative-pg/cloudnative-pg","11035","https://github.com/cloudnative-pg/cloudnative-pg/pull/11035","No","None",""
"cloudnative-pg/cloudnative-pg#11046","cloudnative-pg/cloudnative-pg","11046","https://github.com/cloudnative-pg/cloudnative-pg/pull/11046","No","None",""
"cloudnative-pg/cloudnative-pg#10921","cloudnative-pg/cloudnative-pg","10921","https://github.com/cloudnative-pg/cloudnative-pg/pull/10921","No","None",""
"cloudnative-pg/cloudnative-pg#10568","cloudnative-pg/cloudnative-pg","10568","https://github.com/cloudnative-pg/cloudnative-pg/pull/10568","No","None",""
"cloudnative-pg/cloudnative-pg#11029","cloudnative-pg/cloudnative-pg","11029","https://github.com/cloudnative-pg/cloudnative-pg/pull/11029","No","None",""
"cloudnative-pg/cloudnative-pg#10972","cloudnative-pg/cloudnative-pg","10972","https://github.com/cloudnative-pg/cloudnative-pg/pull/10972","No","None",""
"cloudnative-pg/cloudnative-pg#11017","cloudnative-pg/cloudnative-pg","11017","https://github.com/cloudnative-pg/cloudnative-pg/pull/11017","No","None",""
"cloudnative-pg/cloudnative-pg#11026","cloudnative-pg/cloudnative-pg","11026","https://github.com/cloudnative-pg/cloudnative-pg/pull/11026","No","None",""
"cloudnative-pg/cloudnative-pg#10989","cloudnative-pg/cloudnative-pg","10989","https://github.com/cloudnative-pg/cloudnative-pg/pull/10989","No","None",""
"cloudnative-pg/cloudnative-pg#11022","cloudnative-pg/cloudnative-pg","11022","https://github.com/cloudnative-pg/cloudnative-pg/pull/11022","No","None",""
"cloudnative-pg/cloudnative-pg#11008","cloudnative-pg/cloudnative-pg","11008","https://github.com/cloudnative-pg/cloudnative-pg/pull/11008","No","None",""
"cloudnative-pg/cloudnative-pg#10421","cloudnative-pg/cloudnative-pg","10421","https://github.com/cloudnative-pg/cloudnative-pg/pull/10421","No","None",""
"cloudnative-pg/cloudnative-pg#10827","cloudnative-pg/cloudnative-pg","10827","https://github.com/cloudnative-pg/cloudnative-pg/pull/10827","Yes","Positive",""
"cloudnative-pg/cloudnative-pg#9350","cloudnative-pg/cloudnative-pg","9350","https://github.com/cloudnative-pg/cloudnative-pg/pull/9350","No","None",""
"cloudnative-pg/cloudnative-pg#11006","cloudnative-pg/cloudnative-pg","11006","https://github.com/cloudnative-pg/cloudnative-pg/pull/11006","No","None",""
"cloudnative-pg/cloudnative-pg#10964","cloudnative-pg/cloudnative-pg","10964","https://github.com/cloudnative-pg/cloudnative-pg/pull/10964","No","None",""
"cloudnative-pg/cloudnative-pg#11014","cloudnative-pg/cloudnative-pg","11014","https://github.com/cloudnative-pg/cloudnative-pg/pull/11014","No","None",""
"cloudnative-pg/cloudnative-pg#11003","cloudnative-pg/cloudnative-pg","11003","https://github.com/cloudnative-pg/cloudnative-pg/pull/11003","No","None",""
"cloudnative-pg/cloudnative-pg#10987","cloudnative-pg/cloudnative-pg","10987","https://github.com/cloudnative-pg/cloudnative-pg/pull/10987","No","None",""
"cloudnative-pg/cloudnative-pg#10994","cloudnative-pg/cloudnative-pg","10994","https://github.com/cloudnative-pg/cloudnative-pg/pull/10994","No","None",""
"kubernetes/kubernetes#135050","kubernetes/kubernetes","135050","https://github.com/kubernetes/kubernetes/pull/135050","No","None",""
"kubernetes/kubernetes#140302","kubernetes/kubernetes","140302","https://github.com/kubernetes/kubernetes/pull/140302","No","None",""
"kubernetes/kubernetes#139419","kubernetes/kubernetes","139419","https://github.com/kubernetes/kubernetes/pull/139419","No","None",""
"kubernetes/kubernetes#139789","kubernetes/kubernetes","139789","https://github.com/kubernetes/kubernetes/pull/139789","No","None",""
"kubernetes/kubernetes#138560","kubernetes/kubernetes","138560","https://github.com/kubernetes/kubernetes/pull/138560","No","None",""
"kubernetes/kubernetes#139242","kubernetes/kubernetes","139242","https://github.com/kubernetes/kubernetes/pull/139242","No","None",""
"kubernetes/kubernetes#140038","kubernetes/kubernetes","140038","https://github.com/kubernetes/kubernetes/pull/140038","No","None",""
"kubernetes/kubernetes#140294","kubernetes/kubernetes","140294","https://github.com/kubernetes/kubernetes/pull/140294","No","None",""
"kubernetes/kubernetes#136705","kubernetes/kubernetes","136705","https://github.com/kubernetes/kubernetes/pull/136705","No","None",""
"kubernetes/kubernetes#140173","kubernetes/kubernetes","140173","https://github.com/kubernetes/kubernetes/pull/140173","No","None",""
"kubernetes/kubernetes#140265","kubernetes/kubernetes","140265","https://github.com/kubernetes/kubernetes/pull/140265","No","None",""
"kubernetes/kubernetes#138452","kubernetes/kubernetes","138452","https://github.com/kubernetes/kubernetes/pull/138452","No","None",""
"kubernetes/kubernetes#140279","kubernetes/kubernetes","140279","https://github.com/kubernetes/kubernetes/pull/140279","No","None",""
"kubernetes/kubernetes#140261","kubernetes/kubernetes","140261","https://github.com/kubernetes/kubernetes/pull/140261","No","None",""
"kubernetes/kubernetes#140260","kubernetes/kubernetes","140260","https://github.com/kubernetes/kubernetes/pull/140260","No","None",""
"kubernetes/kubernetes#140165","kubernetes/kubernetes","140165","https://github.com/kubernetes/kubernetes/pull/140165","No","None",""
"kubernetes/kubernetes#138593","kubernetes/kubernetes","138593","https://github.com/kubernetes/kubernetes/pull/138593","No","None",""
"kubernetes/kubernetes#137513","kubernetes/kubernetes","137513","https://github.com/kubernetes/kubernetes/pull/137513","No","None",""
"kubernetes/kubernetes#139967","kubernetes/kubernetes","139967","https://github.com/kubernetes/kubernetes/pull/139967","No","None",""
"kubernetes/kubernetes#139966","kubernetes/kubernetes","139966","https://github.com/kubernetes/kubernetes/pull/139966","No","None",""
"kubernetes/kubernetes#139965","kubernetes/kubernetes","139965","https://github.com/kubernetes/kubernetes/pull/139965","No","None",""
"kubernetes/kubernetes#140269","kubernetes/kubernetes","140269","https://github.com/kubernetes/kubernetes/pull/140269","No","None",""
"kubernetes/kubernetes#140001","kubernetes/kubernetes","140001","https://github.com/kubernetes/kubernetes/pull/140001","No","None",""
"kubernetes/kubernetes#139147","kubernetes/kubernetes","139147","https://github.com/kubernetes/kubernetes/pull/139147","No","None",""
"kubernetes/kubernetes#140163","kubernetes/kubernetes","140163","https://github.com/kubernetes/kubernetes/pull/140163","No","None",""
"kubernetes/kubernetes#139054","kubernetes/kubernetes","139054","https://github.com/kubernetes/kubernetes/pull/139054","No","None",""
"kubernetes/kubernetes#138327","kubernetes/kubernetes","138327","https://github.com/kubernetes/kubernetes/pull/138327","No","None",""
"kubernetes/kubernetes#139169","kubernetes/kubernetes","139169","https://github.com/kubernetes/kubernetes/pull/139169","No","None",""
"kubernetes/kubernetes#140178","kubernetes/kubernetes","140178","https://github.com/kubernetes/kubernetes/pull/140178","No","None",""
"kubernetes/kubernetes#139931","kubernetes/kubernetes","139931","https://github.com/kubernetes/kubernetes/pull/139931","No","None",""
"kubernetes/kubernetes#140218","kubernetes/kubernetes","140218","https://github.com/kubernetes/kubernetes/pull/140218","Yes","Positive",""
"kubernetes/kubernetes#140042","kubernetes/kubernetes","140042","https://github.com/kubernetes/kubernetes/pull/140042","No","None",""
"kubernetes/kubernetes#138848","kubernetes/kubernetes","138848","https://github.com/kubernetes/kubernetes/pull/138848","Yes","Positive",""
"kubernetes/kubernetes#139954","kubernetes/kubernetes","139954","https://github.com/kubernetes/kubernetes/pull/139954","No","None",""
"kubernetes/kubernetes#140264","kubernetes/kubernetes","140264","https://github.com/kubernetes/kubernetes/pull/140264","No","None",""
