Sample ID,Repo,PR #,PR URL,Disclosure Present,Disclosure Classification,Notes
"mesa/mesa#3287","mesa/mesa","3287","https://github.com/mesa/mesa/pull/3287","No","None",""
"NetBSD/src#80","NetBSD/src","80","https://github.com/NetBSD/src/pull/80","No","None",""
"NetBSD/src#79","NetBSD/src","79","https://github.com/NetBSD/src/pull/79","No","None","no description"
"NetBSD/src#82","NetBSD/src","82","https://github.com/NetBSD/src/pull/82","No","None","no description"
"numpy/numpy#31881","numpy/numpy","31881","https://github.com/numpy/numpy/pull/31881","Yes","Negative",""
"numpy/numpy#31525","numpy/numpy","31525","https://github.com/numpy/numpy/pull/31525","Yes","Positive",""
"numpy/numpy#32413","numpy/numpy","32413","https://github.com/numpy/numpy/pull/32413","Yes","Positive",""
"numpy/numpy#32455","numpy/numpy","32455","https://github.com/numpy/numpy/pull/32455","Yes","Positive",""
"numpy/numpy#30023","numpy/numpy","30023","https://github.com/numpy/numpy/pull/30023","No","None",""
"numpy/numpy#31786","numpy/numpy","31786","https://github.com/numpy/numpy/pull/31786","Yes","Positive",""
"numpy/numpy#31876","numpy/numpy","31876","https://github.com/numpy/numpy/pull/31876","Yes","Negative","Fully written by author"
"numpy/numpy#32371","numpy/numpy","32371","https://github.com/numpy/numpy/pull/32371","Yes","Negative",""
"numpy/numpy#32030","numpy/numpy","32030","https://github.com/numpy/numpy/pull/32030","Yes","Negative",""
"numpy/numpy#31791","numpy/numpy","31791","https://github.com/numpy/numpy/pull/31791","Yes","Positive",""
"numpy/numpy#31902","numpy/numpy","31902","https://github.com/numpy/numpy/pull/31902","Yes","Positive",""
"numpy/numpy#31962","numpy/numpy","31962","https://github.com/numpy/numpy/pull/31962","No","None","has been closed due to AI violation"
"numpy/numpy#32313","numpy/numpy","32313","https://github.com/numpy/numpy/pull/32313","Yes","Negative","grammar checks"
"numpy/numpy#31704","numpy/numpy","31704","https://github.com/numpy/numpy/pull/31704","No","None",""
"numpy/numpy#31446","numpy/numpy","31446","https://github.com/numpy/numpy/pull/31446","Yes","Negative","no code by AI"
"numpy/numpy#32024","numpy/numpy","32024","https://github.com/numpy/numpy/pull/32024","Yes","Negative",""
"numpy/numpy#31428","numpy/numpy","31428","https://github.com/numpy/numpy/pull/31428","Yes","Positive",""
"numpy/numpy#31294","numpy/numpy","31294","https://github.com/numpy/numpy/pull/31294","Yes","Negative",""
"numpy/numpy#32068","numpy/numpy","32068","https://github.com/numpy/numpy/pull/32068","No","None","no description"
"numpy/numpy#31257","numpy/numpy","31257","https://github.com/numpy/numpy/pull/31257","Yes","Positive",""
"napari/napari#9071","napari/napari","9071","https://github.com/napari/napari/pull/9071","No","None",""
"napari/napari#9290","napari/napari","9290","https://github.com/napari/napari/pull/9290","No","None",""
"napari/napari#9257","napari/napari","9257","https://github.com/napari/napari/pull/9257","Yes","Positive",""
"napari/napari#9316","napari/napari","9316","https://github.com/napari/napari/pull/9316","No","None",""
"napari/napari#9398","napari/napari","9398","https://github.com/napari/napari/pull/9398","No","None",""
"napari/napari#9302","napari/napari","9302","https://github.com/napari/napari/pull/9302","No","None",""
"napari/napari#9123","napari/napari","9123","https://github.com/napari/napari/pull/9123","No","None",""
"napari/napari#8516","napari/napari","8516","https://github.com/napari/napari/pull/8516","No","None",""
"napari/napari#9146","napari/napari","9146","https://github.com/napari/napari/pull/9146","No","None",""
"napari/napari#9060","napari/napari","9060","https://github.com/napari/napari/pull/9060","No","None",""
"napari/napari#9148","napari/napari","9148","https://github.com/napari/napari/pull/9148","No","None",""
"napari/napari#8964","napari/napari","8964","https://github.com/napari/napari/pull/8964","No","None",""
"napari/napari#9016","napari/napari","9016","https://github.com/napari/napari/pull/9016","Yes","Positive",""
"napari/napari#9020","napari/napari","9020","https://github.com/napari/napari/pull/9020","Yes","Positive",""
"napari/napari#8636","napari/napari","8636","https://github.com/napari/napari/pull/8636","Yes","Positive",""
"napari/napari#8950","napari/napari","8950","https://github.com/napari/napari/pull/8950","No","None",""
"napari/napari#9283","napari/napari","9283","https://github.com/napari/napari/pull/9283","No","None",""
"napari/napari#9348","napari/napari","9348","https://github.com/napari/napari/pull/9348","No","None",""
"napari/napari#8946","napari/napari","8946","https://github.com/napari/napari/pull/8946","No","None",""
"napari/napari#9151","napari/napari","9151","https://github.com/napari/napari/pull/9151","No","None",""
"ocaml/ocaml#14505","ocaml/ocaml","14505","https://github.com/ocaml/ocaml/pull/14505","No","None",""
"ocaml/ocaml#14776","ocaml/ocaml","14776","https://github.com/ocaml/ocaml/pull/14776","No","None",""
"ocaml/ocaml#14785","ocaml/ocaml","14785","https://github.com/ocaml/ocaml/pull/14785","No","None",""
"ocaml/ocaml#14699","ocaml/ocaml","14699","https://github.com/ocaml/ocaml/pull/14699","No","None",""
"ocaml/ocaml#15015","ocaml/ocaml","15015","https://github.com/ocaml/ocaml/pull/15015","No","None",""
"ocaml/ocaml#14787","ocaml/ocaml","14787","https://github.com/ocaml/ocaml/pull/14787","No","None",""
"ocaml/ocaml#14992","ocaml/ocaml","14992","https://github.com/ocaml/ocaml/pull/14992","No","None",""
"ocaml/ocaml#14794","ocaml/ocaml","14794","https://github.com/ocaml/ocaml/pull/14794","No","None",""
"ocaml/ocaml#14241","ocaml/ocaml","14241","https://github.com/ocaml/ocaml/pull/14241","No","None",""
"ocaml/ocaml#14068","ocaml/ocaml","14068","https://github.com/ocaml/ocaml/pull/14068","No","None",""
"ocaml/ocaml#14834","ocaml/ocaml","14834","https://github.com/ocaml/ocaml/pull/14834","Yes","Positive",""
"ocaml/ocaml#12931","ocaml/ocaml","12931","https://github.com/ocaml/ocaml/pull/12931","No","None",""
"ocaml/ocaml#14759","ocaml/ocaml","14759","https://github.com/ocaml/ocaml/pull/14759","No","None",""
