Sample ID,Repo,PR #,PR URL,Disclosure Present,Disclosure Classification,Notes
"Homebrew/brew#23231","Homebrew/brew","23231","https://github.com/Homebrew/brew/pull/23231","Yes","Positive",""
"Homebrew/brew#23216","Homebrew/brew","23216","https://github.com/Homebrew/brew/pull/23216","Yes","Positive",""
"Homebrew/brew#23229","Homebrew/brew","23229","https://github.com/Homebrew/brew/pull/23229","Yes","Positive",""
"Homebrew/brew#23228","Homebrew/brew","23228","https://github.com/Homebrew/brew/pull/23228","Yes","Positive",""
"Homebrew/brew#23223","Homebrew/brew","23223","https://github.com/Homebrew/brew/pull/23223","Yes","Positive",""
"Homebrew/brew#23224","Homebrew/brew","23224","https://github.com/Homebrew/brew/pull/23224","Yes","Positive",""
"Homebrew/brew#23222","Homebrew/brew","23222","https://github.com/Homebrew/brew/pull/23222","Yes","Positive",""
"Homebrew/brew#23212","Homebrew/brew","23212","https://github.com/Homebrew/brew/pull/23212","Yes","Positive",""
"Homebrew/brew#23230","Homebrew/brew","23230","https://github.com/Homebrew/brew/pull/23230","Yes","Positive",""
"Homebrew/brew#23225","Homebrew/brew","23225","https://github.com/Homebrew/brew/pull/23225","Yes","Positive",""
"Homebrew/brew#23182","Homebrew/brew","23182","https://github.com/Homebrew/brew/pull/23182","Yes","Positive",""
"Homebrew/brew#23219","Homebrew/brew","23219","https://github.com/Homebrew/brew/pull/23219","Yes","Positive",""
"Homebrew/brew#23220","Homebrew/brew","23220","https://github.com/Homebrew/brew/pull/23220","Yes","Positive",""
"Homebrew/brew#23208","Homebrew/brew","23208","https://github.com/Homebrew/brew/pull/23208","Yes","Positive",""
"Homebrew/brew#23206","Homebrew/brew","23206","https://github.com/Homebrew/brew/pull/23206","Yes","Positive",""
"Homebrew/brew#23207","Homebrew/brew","23207","https://github.com/Homebrew/brew/pull/23207","Yes","Positive",""
"Homebrew/brew#23214","Homebrew/brew","23214","https://github.com/Homebrew/brew/pull/23214","Yes","Positive",""
