Sample ID,Repo,PR #,PR URL,Disclosure Present,Disclosure Classification,Notes
"apache/airflow#71157","apache/airflow","71157","https://github.com/apache/airflow/pull/71157","No","None",""
"apache/airflow#65897","apache/airflow","65897","https://github.com/apache/airflow/pull/65897","Yes","Positive","Specified the too:Claude Opus 4.7"
"apache/airflow#71722","apache/airflow","71722","https://github.com/apache/airflow/pull/71722","No","None",""
"apache/airflow#69684","apache/airflow","69684","https://github.com/apache/airflow/pull/69684","No","None",""
"apache/airflow#61036","apache/airflow","61036","https://github.com/apache/airflow/pull/61036","Yes","Positive","Gemini 3 flash"
"apache/airflow#71447","apache/airflow","71447","https://github.com/apache/airflow/pull/71447","No","None",""
"apache/airflow#68979","apache/airflow","68979","https://github.com/apache/airflow/pull/68979","Yes","Positive","Used Claude Sonnet to understand the task instance service code."
"apache/airflow#71170","apache/airflow","71170","https://github.com/apache/airflow/pull/71170","Yes","Positive","Claude Code"
"apache/airflow#67605","apache/airflow","67605","https://github.com/apache/airflow/pull/67605","Yes","Positive","(Claude Code - Opus 4.6)"
"apache/airflow#69146","apache/airflow","69146","https://github.com/apache/airflow/pull/69146","Yes","Positive","Claude Code (Opus 4.8)"
"apache/airflow#69817","apache/airflow","69817","https://github.com/apache/airflow/pull/69817","Yes","Positive","help of Claude Code Fable 5"
"apache/airflow#66386","apache/airflow","66386","https://github.com/apache/airflow/pull/66386","Yes","Positive","this PR was developed with AI assistance for code drafting and analysis."
"apache/airflow#68421","apache/airflow","68421","https://github.com/apache/airflow/pull/68421","Yes","Positive","Cursor (Auto)"
"apache/airflow#66512","apache/airflow","66512","https://github.com/apache/airflow/pull/66512","Yes","Positive","Co-Authored-By: Claude Sonnet 4.6"
"apache/airflow#69156","apache/airflow","69156","https://github.com/apache/airflow/pull/69156","Yes","Positive","OpenAI Codex"
"apache/airflow#66665","apache/airflow","66665","https://github.com/apache/airflow/pull/66665","Yes","Positive","Claude Code (Opus 4.7, 1M context)"
"apache/airflow#71011","apache/airflow","71011","https://github.com/apache/airflow/pull/71011","Yes","Positive","Claude Code (Opus 5)"
"apache/airflow#67554","apache/airflow","67554","https://github.com/apache/airflow/pull/67554","No","None",""
"apache/airflow#66677","apache/airflow","66677","https://github.com/apache/airflow/pull/66677","Yes","Positive","Claude Opus 4.7 (1M context)"
"apache/airflow#69977","apache/airflow","69977","https://github.com/apache/airflow/pull/69977","Yes","Positive","Claude Code (Opus 4.8)"
"apache/couchdb#6083","apache/couchdb","6083","https://github.com/apache/couchdb/pull/6083","No","None",""
"apache/couchdb#6053","apache/couchdb","6053","https://github.com/apache/couchdb/pull/6053","Yes","Positive","I used AI to help me understand the codebase and explore the approach."
"apache/couchdb#6063","apache/couchdb","6063","https://github.com/apache/couchdb/pull/6063","Yes","Negative","This is my own work, I did not use AI, LLM's or similar technology"
"apache/couchdb#6061","apache/couchdb","6061","https://github.com/apache/couchdb/pull/6061","Yes","Negative","This is my own work, I did not use AI, LLM's or similar technology"
"apache/couchdb#6076","apache/couchdb","6076","https://github.com/apache/couchdb/pull/6076","No","None",""
"apache/couchdb#6042","apache/couchdb","6042","https://github.com/apache/couchdb/pull/6042","No","None",""
"apache/couchdb#6062","apache/couchdb","6062","https://github.com/apache/couchdb/pull/6062","No","None",""
"apache/couchdb#6038","apache/couchdb","6038","https://github.com/apache/couchdb/pull/6038","No","None",""
"apache/couchdb#5994","apache/couchdb","5994","https://github.com/apache/couchdb/pull/5994","No","None",""
"apache/couchdb#6055","apache/couchdb","6055","https://github.com/apache/couchdb/pull/6055","Yes","Negative","This is my own work, I did not use AI, LLM's or similar technology"
"apache/couchdb#6009","apache/couchdb","6009","https://github.com/apache/couchdb/pull/6009","Yes","Negative","This is my own work, I did not use AI, LLM's or similar technology"
"apache/couchdb#6027","apache/couchdb","6027","https://github.com/apache/couchdb/pull/6027","No","None",""
"apache/couchdb#6048","apache/couchdb","6048","https://github.com/apache/couchdb/pull/6048","No","None",""
"apache/couchdb#6099","apache/couchdb","6099","https://github.com/apache/couchdb/pull/6099","Yes","Negative","This is my own work, I did not use AI, LLM's or similar technology"
"apache/couchdb#4406","apache/couchdb","4406","https://github.com/apache/couchdb/pull/4406","No","None",""
"apache/couchdb#6100","apache/couchdb","6100","https://github.com/apache/couchdb/pull/6100","No","None",""
"apache/couchdb#5986","apache/couchdb","5986","https://github.com/apache/couchdb/pull/5986","No","None",""
"apache/couchdb#6033","apache/couchdb","6033","https://github.com/apache/couchdb/pull/6033","Yes","Negative","This is my own work, I did not use AI, LLM's or similar technology"
"apache/couchdb#6032","apache/couchdb","6032","https://github.com/apache/couchdb/pull/6032","No","None",""
"apache/couchdb#6043","apache/couchdb","6043","https://github.com/apache/couchdb/pull/6043","No","None",""
"apache/arrow#50589","apache/arrow","50589","https://github.com/apache/arrow/pull/50589","No","None",""
"apache/arrow#50781","apache/arrow","50781","https://github.com/apache/arrow/pull/50781","No","None",""
"apache/arrow#50848","apache/arrow","50848","https://github.com/apache/arrow/pull/50848","No","None",""
"apache/arrow#50502","apache/arrow","50502","https://github.com/apache/arrow/pull/50502","No","None",""
"apache/arrow#49999","apache/arrow","49999","https://github.com/apache/arrow/pull/49999","No","None",""
"apache/arrow#50066","apache/arrow","50066","https://github.com/apache/arrow/pull/50066","No","None",""
"apache/arrow#50679","apache/arrow","50679","https://github.com/apache/arrow/pull/50679","No","None",""
"apache/arrow#50130","apache/arrow","50130","https://github.com/apache/arrow/pull/50130","No","None",""
"apache/arrow#50271","apache/arrow","50271","https://github.com/apache/arrow/pull/50271","No","None",""
"apache/arrow#50036","apache/arrow","50036","https://github.com/apache/arrow/pull/50036","No","None",""
"apache/arrow#50935","apache/arrow","50935","https://github.com/apache/arrow/pull/50935","No","None",""
"apache/arrow#49795","apache/arrow","49795","https://github.com/apache/arrow/pull/49795","No","None",""
"apache/arrow#50580","apache/arrow","50580","https://github.com/apache/arrow/pull/50580","No","None",""
"apache/arrow#49801","apache/arrow","49801","https://github.com/apache/arrow/pull/49801","No","None",""
"apache/arrow#50529","apache/arrow","50529","https://github.com/apache/arrow/pull/50529","No","None",""
"apache/arrow#50854","apache/arrow","50854","https://github.com/apache/arrow/pull/50854","No","None",""
"apache/arrow#47391","apache/arrow","47391","https://github.com/apache/arrow/pull/47391","No","None",""
"apache/arrow#50317","apache/arrow","50317","https://github.com/apache/arrow/pull/50317","No","None",""
"apache/arrow#50525","apache/arrow","50525","https://github.com/apache/arrow/pull/50525","No","None",""
"apache/arrow#45272","apache/arrow","45272","https://github.com/apache/arrow/pull/45272","No","None",""
"cilium/cilium#47717","cilium/cilium","47717","https://github.com/cilium/cilium/pull/47717","Yes","Negative","AIL:0"
"cilium/cilium#48013","cilium/cilium","48013","https://github.com/cilium/cilium/pull/48013","No","None",""
"cilium/cilium#46332","cilium/cilium","46332","https://github.com/cilium/cilium/pull/46332","No","None",""
"cilium/cilium#45834","cilium/cilium","45834","https://github.com/cilium/cilium/pull/45834","No","None",""
"cilium/cilium#45769","cilium/cilium","45769","https://github.com/cilium/cilium/pull/45769","No","None",""
"cilium/cilium#47917","cilium/cilium","47917","https://github.com/cilium/cilium/pull/47917","No","None",""
"cilium/cilium#45939","cilium/cilium","45939","https://github.com/cilium/cilium/pull/45939","No","None",""
