Repo,Notes,Repository Link,Stars,License,Policy URL,Policy Location,Visibility Score,Enforcement Score,PR template,CI Check,Mandatory Disclosure,Transparency,Accountability,Reviewer Burden,Quality,Trust
Airflow,,https://github.com/apache/airflow,45.8k,Apache-2.0,https://github.com/apache/airflow/blob/main/contributing-docs/05_pull_requests.rst#gen-ai-assisted-contributions,airflow/contributing-docs,,,,,,,,,,
Apache CouchDB,Forbidden to contribute AI material,https://github.com/apache/couchdb,6.9k,Apache-2.0,,,,,,,,,,,,
Arrow,,https://github.com/apache/arrow,16.8k,Apache-2.0,https://arrow.apache.org/docs/dev/developers/overview.html#ai-generated-code,In their development page on their website,,,,,,,,,,
Awesome-mcp-servers,,https://github.com/punkpeye/awesome-mcp-servers,88.9k,MIT ,,,,,,,,,,,,
cilium,,https://github.com/cilium/cilium,24.5k,Apache-2.0,https://github.com/cilium/community/blob/main/AI-POLICY.md,under /community/AI-policy.md,,,,,,,,,,
CloudNativePg Landscape ,,https://github.com/cncf/landscape,9.9k,Apache-2.0,https://github.com/cloudnative-pg/governance/blob/main/AI_POLICY.md,under another repository owned by the foundation,,,,,,,,,,
curl,,https://github.com/curl/curl,42.1k,--,https://curl.se/dev/contribute.html#on-ai-use-in-curl,external website,,,,,,,,,,
Django,,https://github.com/django/django,87.8k,BSD-3-Clause,https://docs.djangoproject.com/en/dev/internals/contributing/writing-code/submitting-patches/#ai-assisted-contributions,external documentation website ,,,,,,,,,,
Drupal,,https://github.com/drupal/drupal,4.3k,GNU,https://www.drupal.org/docs/develop/issues/issue-procedures-and-etiquette/policy-on-the-use-of-ai-when-contributing-to-drupal,external documentation website ,,,,,,,,,,
Easybuild,,https://github.com/easybuilders/easybuild,511,GPL-2.0,https://docs.easybuild.io/policies/ai/,external documentation website ,,,,,,,,,,
Fedify,,https://github.com/fedify-dev/fedify,986,MIT ,https://github.com/fedify-dev/fedify/blob/main/AI_POLICY.md,directly in repository,,,,,,,,,,
GDAL,,https://github.com/OSGeo/gdal,5.9k,GDAL (under MIT),https://gdal.org/en/stable/community/ai_tool_policy.html,external documentation website ,,,,,,,,,,
Ghostty,,https://github.com/ghostty-org/ghostty,56.3k,MIT License,https://github.com/ghostty-org/ghostty/blob/main/AI_POLICY.md,directly in repository,,,,,,,,,,
Gitea,,https://github.com/go-gitea/gitea,56.2k,MIT License,https://github.com/go-gitea/gitea/blob/main/CONTRIBUTING.md#ai-contribution-policy,directly in repository,,,,,,,,,,
Brew,,https://github.com/Homebrew/brew,48.4k,BSD-2-Clause,https://github.com/Homebrew/brew/blob/main/CONTRIBUTING.md#artificial-intelligencelarge-language-model-aillm-usage,directly in repository,,,,,,,,,,
IREE,,https://github.com/iree-org/iree,3.8k,Apache-2.0,https://iree.dev/developers/general/contributing/#ai-tool-use,external documentation website ,,,,,,,,,,
Joomla CMS,,https://github.com/joomla/joomla-cms,5.1k,GPL-2.0,https://developer.joomla.org/generative-ai-policy.html,external documentation website ,,,,,,,,,,
Kubernetes,,https://github.com/kubernetes/kubernetes,123k,Apache-2.0,https://www.kubernetes.dev/docs/guide/pull-requests/#ai-guidance,external documentation website ,,,,,,,,,,
Kornia,,https://github.com/kornia/kornia,11.2k,Apache-2.0,https://github.com/kornia/kornia/blob/main/AI_POLICY.md,directly in repository,,,,,,,,,,
Kvrocks,,https://github.com/apache/kvrocks,4.3k,Apache-2.0,https://kvrocks.apache.org/community/contributing/#guidelines-for-ai-assisted-contributions,external documentation website ,,,,,,,,,,
Linux Kernel,,https://github.com/torvalds/linux,236k,GPL-2.0,https://kernel.org/doc/html/next/process/coding-assistants.html,external documentation website ,,,,,,,,,,
Llvm,,https://github.com/llvm/llvm-project,38.8k,Apache-2.0,https://llvm.org/docs//AIToolPolicy.html,external documentation website ,,,,,,,,,,
Matpotlib,reject Ai generated contributions,https://github.com/matplotlib/matplotlib,22.9k,--,https://matplotlib.org/devdocs/devel/contribute.html#generative-ai,external documentation website ,,,,,,,,,,
Mesa,"AI disclosure under ""submitting patches"" not very easily identifiable",https://github.com/mesa/mesa,3.7k,Apache-2.0,https://gitlab.freedesktop.org/mesa/mesa/-/blob/main/docs/submittingpatches.rst?ref_type=heads#id2,external documentation website ,,,,,,,,,,
NetBSD,"Code generated is presumed to be tainted, must not be committed without prior approval ",https://github.com/NetBSD/src,938,BSD-3-Clause ??,https://www.netbsd.org/developers/commit-guidelines.html,external documentation website ,,,,,,,,,,
NumPy,,https://github.com/numpy/numpy,32.2k,"""AS IS""",https://numpy.org/devdocs/dev/ai_policy.html,external documentation website ,,,,,,,,,,
napari,,https://github.com/napari/napari,2.7k,BSD-3-Clause,https://napari.org/dev/developers/contributing/ai.html,external documentation website ,,,,,,,,,,
Ocaml,,https://github.com/ocaml/ocaml,6.4k,GNU LGPL,https://github.com/ocaml/ocaml/blob/trunk/AI.md,directly in repository,,,,,,,,,,
OpenTelemetry Collector,,https://github.com/open-telemetry/opentelemetry-collector,7.1k,Apache-2.0,https://github.com/open-telemetry/community/blob/main/policies/genai.md,directly in repository,,,,,,,,,,
Ory Oathkeeper,,https://github.com/ory/oathkeeper,3.6k,Apache-2.0,https://github.com/ory/oathkeeper/blob/master/CONTRIBUTING.md,directly in repository,,,,,,,,,,
