Repository,Total PR Rows,Eligible PRs,Successfully Analysed Eligible PRs,PRs With Disclosure,PRs Without Disclosure,Failed or Excluded PRs,Disclosure Rate,Disclosure Rate Percentage,Policy Tracker Repo,Repository Link,Visibility Score Original,Visibility Score Numeric,Match Status,Correlation Included,Exclusion Reason
"apache/airflow","93","93","93","60","33","0","0.6451612903225806","64.52%","Airflow","https://github.com/apache/airflow","3","3.0","Matched","Yes",""
"apache/arrow","99","99","99","1","98","0","0.010101010101010102","1.01%","Arrow","https://github.com/apache/arrow","2 (becuase of a link in their pr template)","2.0","Matched","Yes",""
apache/couchdb,83,83,83,1,82,0,0.012048192771084300,1.20%,Apache CouchDB,https://github.com/apache/couchdb,3,3.0,Matched,Yes,""
"apache/kvrocks","11","11","11","1","10","0","0.09090909090909091","9.09%","Kvrocks","https://github.com/apache/kvrocks","1","1.0","Matched","Yes",""
"cilium/cilium","98","98","98","4","94","0","0.04081632653061224","4.08%","cilium","https://github.com/cilium/cilium","3","3.0","Matched","Yes",""
"cncf/landscape","100","100","100","0","100","0","0.0","0.00%","CloudNativePg Landscape","https://github.com/cncf/landscape","1","1.0","Matched","Yes",""
"curl/curl","100","100","100","0","100","0","0.0","0.00%","curl","https://github.com/curl/curl","1","1.0","Matched","Yes",""
"cybertec-postgresql/pgwatch","58","58","58","21","37","0","0.3620689655172414","36.21%","pgwatch","https://github.com/cybertec-postgresql/pgwatch/","3","3.0","Matched","Yes",""
"django/django","97","97","97","70","27","0","0.7216494845360825","72.16%","Django","https://github.com/django/django","3","3.0","Matched","Yes",""
"easybuilders/easybuild","3","3","3","0","3","0","0.0","0.00%","Easybuild","https://github.com/easybuilders/easybuild","1","1.0","Matched","Yes",""
"fedify-dev/fedify","100","100","100","19","81","0","0.19","19.00%","Fedify","https://github.com/fedify-dev/fedify","2","2.0","Matched","Yes",""
"ghostty-org/ghostty","95","95","95","19","76","0","0.2","20.00%","Ghostty","https://github.com/ghostty-org/ghostty","2","2.0","Matched","Yes",""
"go-gitea/gitea","99","99","99","4","95","0","0.04040404040404041","4.04%","Gitea","https://github.com/go-gitea/gitea","2 (link in pr)","2.0","Matched","Yes",""
"homebrew/brew","100","100","100","87","13","0","0.87","87.00%","Brew","https://github.com/Homebrew/brew","3","3.0","Matched","Yes",""
"iree-org/iree","99","99","99","3","96","0","0.030303030303030304","3.03%","IREE","https://github.com/iree-org/iree","1","1.0","Matched","Yes",""
"joomla/joomla-cms","98","98","98","66","32","0","0.673469387755102","67.35%","Joomla CMS","https://github.com/joomla/joomla-cms","3","3.0","Matched","Yes",""
"kornia/kornia","99","99","99","17","82","0","0.1717171717171717","17.17%","Kornia","https://github.com/kornia/kornia","3","3.0","Matched","Yes",""
"kubernetes/kubernetes","97","97","97","4","93","0","0.041237113402061855","4.12%","Kubernetes","https://github.com/kubernetes/kubernetes","1","1.0","Matched","Yes",""
"llvm/llvm-project","97","97","97","8","89","0","0.08247422680412371","8.25%","Llvm","https://github.com/llvm/llvm-project","1","1.0","Matched","Yes",""
"matplotlib/matplotlib","100","100","100","19","81","0","0.19","19.00%","Matpotlib","https://github.com/matplotlib/matplotlib","3","3.0","Matched","Yes",""
"mesa/mesa","98","98","98","4","94","0","0.04081632653061224","4.08%","Mesa","https://github.com/mesa/mesa","1","1.0","Matched","Yes",""
"napari/napari","100","100","100","3","97","0","0.03","3.00%","napari","https://github.com/napari/napari","1","1.0","Matched","Yes",""
"netbsd/src","4","4","4","0","4","0","0.0","0.00%","NetBSD","https://github.com/NetBSD/src","1","1.0","Matched","Yes",""
"numpy/numpy","99","99","99","45","54","0","0.45454545454545453","45.45%","NumPy","https://github.com/numpy/numpy","3","3.0","Matched","Yes",""
"ocaml/ocaml","94","94","94","0","94","0","0.0","0.00%","Ocaml","https://github.com/ocaml/ocaml","2","2.0","Matched","Yes",""
"open-telemetry/opentelemetry-collector","99","99","99","4","95","0","0.04040404040404041","4.04%","OpenTelemetry Collector","https://github.com/open-telemetry/opentelemetry-collector","2","2.0","Matched","Yes",""
"openedx/openedx-platform","98","98","98","0","98","0","0.0","0.00%","OpenEDX platform","https://github.com/openedx/openedx-platform","1","1.0","Matched","Yes",""
"ory/oathkeeper","3","3","3","0","3","0","0.0","0.00%","Ory Oathkeeper","https://github.com/ory/oathkeeper","2 (link to contributing","2.0","Matched","Yes",""
"pandas-dev/pandas","100","100","100","2","98","0","0.02","2.00%","Pandas","https://github.com/pandas-dev/pandas","3","3.0","Matched","Yes",""
"pola-rs/polars","98","98","98","10","88","0","0.10204081632653061","10.20%","Polars","https://github.com/pola-rs/polars","3","3.0","Matched","Yes",""
"processing/p5.js","99","99","99","0","99","0","0.0","0.00%","P5.js","https://github.com/processing/p5.js/","2","2.0","Matched","Yes",""
"qgis/qgis","56","56","56","8","48","0","0.14285714285714285","14.29%","QGIS","https://github.com/qgis/qgis","3","3.0","Matched","Yes",""
"qutip/qutip","72","72","72","0","72","0","0.0","0.00%","qutip","https://github.com/qutip/qutip","3","3.0","Matched","Yes",""
"scipy/scipy","92","92","92","51","41","0","0.5543478260869565","55.43%","SciPy","https://github.com/scipy/scipy","3","3.0","Matched","Yes",""
"searxng/searxng","96","96","96","72","24","0","0.75","75.00%","SearXNG","https://github.com/searxng/searxng","3","3.0","Matched","Yes",""
"stacdev/stac","8","8","8","0","8","0","0.0","0.00%","STAC","https://github.com/StacDev/stac","2","2.0","Matched","Yes",""
"sympy/sympy","100","100","100","58","42","0","0.58","58.00%","SymPy","https://github.com/sympy/sympy","3","3.0","Matched","Yes",""
