"Repository","Pull request number","URL","Author","State","Closed","Human author","GitHub user type","AI Disclosure","Merged","AI Disclosure evidence","HTML scrape success","HTML scrape error"
"fedify-dev/fedify","787","https://github.com/fedify-dev/fedify/pull/787","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/787 body="
"fedify-dev/fedify","779","https://github.com/fedify-dev/fedify/pull/779","sij411","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/779 body="
"fedify-dev/fedify","778","https://github.com/fedify-dev/fedify/pull/778","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/778 body="
"fedify-dev/fedify","781","https://github.com/fedify-dev/fedify/pull/781","youknowone","closed","true","true","User","false","false","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/781 body="
"fedify-dev/fedify","780","https://github.com/fedify-dev/fedify/pull/780","dahlia","closed","true","true","User","true","true","CLAUDE.md*): Changes the testing guidance to recommend `node:test` and `node:assert/strict` for most packages, with an explicit exception for *@fedify/fedify* and *@fedify/vocab*. - *CONTRIBUTING.md*: Renames “Writing tests with `@fedify/fi...","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/780 body="
"fedify-dev/fedify","777","https://github.com/fedify-dev/fedify/pull/777","dahlia","closed","true","true","User","true","true","cursors, actor identifiers, and full URLs stay out of metric labels. ## Changes - Added collection metric instruments and helper functions in *packages/fedify/src/federation/metrics.ts*: `activitypub.collection.request`, `activitypub.collec...","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/777 body="
"fedify-dev/fedify","772","https://github.com/fedify-dev/fedify/pull/772","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/772 body="
"fedify-dev/fedify","758","https://github.com/fedify-dev/fedify/pull/758","2chanhaeng","closed","true","true","User","true","true","AI disclosure Assisted-by: Codex:GPT-5.5 Assisted-by: Claude Code:claude-opus-4-7","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/758 body="
"fedify-dev/fedify","771","https://github.com/fedify-dev/fedify/pull/771","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/771 body="
"fedify-dev/fedify","770","https://github.com/fedify-dev/fedify/pull/770","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/770 body="
"fedify-dev/fedify","769","https://github.com/fedify-dev/fedify/pull/769","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/769 body="
"fedify-dev/fedify","768","https://github.com/fedify-dev/fedify/pull/768","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/768 body="
"fedify-dev/fedify","759","https://github.com/fedify-dev/fedify/pull/759","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/759 body="
"fedify-dev/fedify","763","https://github.com/fedify-dev/fedify/pull/763","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/763 body="
"fedify-dev/fedify","766","https://github.com/fedify-dev/fedify/pull/766","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/766 body="
"fedify-dev/fedify","757","https://github.com/fedify-dev/fedify/pull/757","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/757 body="
"fedify-dev/fedify","756","https://github.com/fedify-dev/fedify/pull/756","dahlia","closed","true","true","User","true","true","Claude Code plugin living inside this repository rather than a separate *fedify-dev/claude-code* repo. The main argument for keeping it here is version lockstep: when a dispatcher API or CLI subcommand changes, the plugin update can land in...","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/756 body="
"fedify-dev/fedify","755","https://github.com/fedify-dev/fedify/pull/755","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/755 body="
