Repository,Disclosure Rate,Visibility Score,Governance Score,Disclosure Rank,Visibility Rank,Governance Rank
apache/airflow,0.645161290322580627,3,,33,29,
apache/arrow,0.0101010101010101019,2,,11,16,
apache/couchdb,0.012048192771084338,3,,12,29,
apache/kvrocks,0.0909090909090909116,1,,22,6,
cilium/cilium,0.0408163265306122416,3,,18.5,29,
cncf/landscape,0,1,,5.5,6,
curl/curl,0,1,,5.5,6,
cybertec-postgresql/pgwatch,0.362068965517241381,3,,29,29,
django/django,0.721649484536082464,3,,35,29,
easybuilders/easybuild,0,1,,5.5,6,
fedify-dev/fedify,0.190000000000000002,2,,26.5,16,
ghostty-org/ghostty,0.200000000000000011,2,,28,16,
go-gitea/gitea,0.0404040404040404075,2,,16.5,16,
homebrew/brew,0.869999999999999996,3,,37,29,
iree-org/iree,0.0303030303030303039,1,,15,6,
joomla/joomla-cms,0.673469387755102011,3,,34,29,
kornia/kornia,0.171717171717171713,3,,25,29,
kubernetes/kubernetes,0.0412371134020618549,1,,20,6,
llvm/llvm-project,0.0824742268041237098,1,,21,6,
matplotlib/matplotlib,0.190000000000000002,3,,26.5,29,
mesa/mesa,0.0408163265306122416,1,,18.5,6,
napari/napari,0.0299999999999999989,1,,14,6,
netbsd/src,0,1,,5.5,6,
numpy/numpy,0.45454545454545453,3,,30,29,
ocaml/ocaml,0,2,,5.5,16,
open-telemetry/opentelemetry-collector,0.0404040404040404075,2,,16.5,16,
openedx/openedx-platform,0,1,,5.5,6,
ory/oathkeeper,0,2,,5.5,16,
pandas-dev/pandas,0.0200000000000000004,3,,13,29,
pola-rs/polars,0.102040816326530615,3,,23,29,
processing/p5.js,0,2,,5.5,16,
qgis/qgis,0.142857142857142849,3,,24,29,
qutip/qutip,0,3,,5.5,29,
scipy/scipy,0.554347826086956541,3,,31,29,
searxng/searxng,0.75,3,,36,29,
stacdev/stac,0,2,,5.5,16,
sympy/sympy,0.57999999999999996,3,,32,29,
